,yuv,framenos,fps,w,h,content,ref
0,1080p_1M_Bonfire_upscaled.yuv,527,60.0,1920,1080,Bonfire,4k_ref_Bonfire_upscaled.yuv
1,1080p_1M_CargoBoat_upscaled.yuv,650,60.0,1920,1080,CargoBoat,4k_ref_CargoBoat_upscaled.yuv
2,1080p_1M_CenterPanorama_upscaled.yuv,606,60.0,1920,1080,CenterPanorama,4k_ref_CenterPanorama_upscaled.yuv
3,1080p_1M_Chasing1_upscaled.yuv,610,59.94005994005994,1920,1080,Chasing1,4k_ref_Chasing1_upscaled.yuv
4,1080p_1M_Chasing3_upscaled.yuv,424,59.94005994005994,1920,1080,Chasing3,4k_ref_Chasing3_upscaled.yuv
5,1080p_1M_Chasing4_upscaled.yuv,424,59.94005994005994,1920,1080,Chasing4,4k_ref_Chasing4_upscaled.yuv
6,1080p_1M_CourtYard_upscaled.yuv,608,60.0,1920,1080,CourtYard,4k_ref_CourtYard_upscaled.yuv
7,1080p_1M_Daylight1_upscaled.yuv,483,59.94005994005994,1920,1080,Daylight1,4k_ref_Daylight1_upscaled.yuv
8,1080p_1M_firework_upscaled.yuv,608,60.0,1920,1080,firework,4k_ref_firework_upscaled.yuv
9,1080p_1M_Flowers_upscaled.yuv,668,60.0,1920,1080,Flowers,4k_ref_Flowers_upscaled.yuv
10,1080p_1M_football10_upscaled.yuv,505,50.0,1920,1080,football10,4k_ref_football10_upscaled.yuv
11,1080p_1M_football1_upscaled.yuv,506,50.0,1920,1080,football1,4k_ref_football1_upscaled.yuv
12,1080p_1M_football2_upscaled.yuv,506,50.0,1920,1080,football2,4k_ref_football2_upscaled.yuv
13,1080p_1M_football3_upscaled.yuv,456,50.0,1920,1080,football3,4k_ref_football3_upscaled.yuv
14,1080p_1M_football4_upscaled.yuv,403,50.0,1920,1080,football4,4k_ref_football4_upscaled.yuv
15,1080p_1M_football5_upscaled.yuv,506,50.0,1920,1080,football5,4k_ref_football5_upscaled.yuv
16,1080p_1M_football6_upscaled.yuv,456,50.0,1920,1080,football6,4k_ref_football6_upscaled.yuv
17,1080p_1M_football7_upscaled.yuv,456,50.0,1920,1080,football7,4k_ref_football7_upscaled.yuv
18,1080p_1M_football8_upscaled.yuv,456,50.0,1920,1080,football8,4k_ref_football8_upscaled.yuv
19,1080p_1M_football9_upscaled.yuv,506,50.0,1920,1080,football9,4k_ref_football9_upscaled.yuv
20,1080p_1M_Furniture_upscaled.yuv,473,60.0,1920,1080,Furniture,4k_ref_Furniture_upscaled.yuv
21,1080p_1M_golf1_upscaled.yuv,452,50.0,1920,1080,golf1,4k_ref_golf1_upscaled.yuv
22,1080p_1M_golf2_upscaled.yuv,501,50.0,1920,1080,golf2,4k_ref_golf2_upscaled.yuv
23,1080p_1M_Light2_upscaled.yuv,352,59.94005994005994,1920,1080,Light2,4k_ref_Light2_upscaled.yuv
24,1080p_1M_Light3_upscaled.yuv,367,59.94005994005994,1920,1080,Light3,4k_ref_Light3_upscaled.yuv
25,1080p_1M_Light4_upscaled.yuv,385,59.94005994005994,1920,1080,Light4,4k_ref_Light4_upscaled.yuv
26,1080p_1M_NighTraffic_upscaled.yuv,496,60.0,1920,1080,NighTraffic,4k_ref_NighTraffic_upscaled.yuv
27,1080p_1M_OfficeBuilding_upscaled.yuv,525,60.0,1920,1080,OfficeBuilding,4k_ref_OfficeBuilding_upscaled.yuv
28,1080p_1M_Porsche_upscaled.yuv,301,60.0,1920,1080,Porsche,4k_ref_Porsche_upscaled.yuv
29,1080p_1M_Skyscraper_upscaled.yuv,363,60.0,1920,1080,Skyscraper,4k_ref_Skyscraper_upscaled.yuv
30,1080p_1M_UrbanLandmark_upscaled.yuv,568,60.0,1920,1080,UrbanLandmark,4k_ref_UrbanLandmark_upscaled.yuv
31,1080p_6M_Bonfire_upscaled.yuv,527,60.0,1920,1080,Bonfire,4k_ref_Bonfire_upscaled.yuv
32,1080p_6M_CargoBoat_upscaled.yuv,650,60.0,1920,1080,CargoBoat,4k_ref_CargoBoat_upscaled.yuv
33,1080p_6M_CenterPanorama_upscaled.yuv,606,60.0,1920,1080,CenterPanorama,4k_ref_CenterPanorama_upscaled.yuv
34,1080p_6M_Chasing1_upscaled.yuv,610,59.94005994005994,1920,1080,Chasing1,4k_ref_Chasing1_upscaled.yuv
35,1080p_6M_Chasing3_upscaled.yuv,424,59.94005994005994,1920,1080,Chasing3,4k_ref_Chasing3_upscaled.yuv
36,1080p_6M_Chasing4_upscaled.yuv,424,59.94005994005994,1920,1080,Chasing4,4k_ref_Chasing4_upscaled.yuv
37,1080p_6M_CourtYard_upscaled.yuv,608,60.0,1920,1080,CourtYard,4k_ref_CourtYard_upscaled.yuv
38,1080p_6M_Daylight1_upscaled.yuv,483,59.94005994005994,1920,1080,Daylight1,4k_ref_Daylight1_upscaled.yuv
39,1080p_6M_firework_upscaled.yuv,608,60.0,1920,1080,firework,4k_ref_firework_upscaled.yuv
40,1080p_6M_Flowers_upscaled.yuv,668,60.0,1920,1080,Flowers,4k_ref_Flowers_upscaled.yuv
41,1080p_6M_football10_upscaled.yuv,505,50.0,1920,1080,football10,4k_ref_football10_upscaled.yuv
42,1080p_6M_football1_upscaled.yuv,506,50.0,1920,1080,football1,4k_ref_football1_upscaled.yuv
43,1080p_6M_football2_upscaled.yuv,506,50.0,1920,1080,football2,4k_ref_football2_upscaled.yuv
44,1080p_6M_football3_upscaled.yuv,456,50.0,1920,1080,football3,4k_ref_football3_upscaled.yuv
45,1080p_6M_football4_upscaled.yuv,403,50.0,1920,1080,football4,4k_ref_football4_upscaled.yuv
46,1080p_6M_football5_upscaled.yuv,506,50.0,1920,1080,football5,4k_ref_football5_upscaled.yuv
47,1080p_6M_football6_upscaled.yuv,456,50.0,1920,1080,football6,4k_ref_football6_upscaled.yuv
48,1080p_6M_football7_upscaled.yuv,456,50.0,1920,1080,football7,4k_ref_football7_upscaled.yuv
49,1080p_6M_football8_upscaled.yuv,456,50.0,1920,1080,football8,4k_ref_football8_upscaled.yuv
50,1080p_6M_football9_upscaled.yuv,506,50.0,1920,1080,football9,4k_ref_football9_upscaled.yuv
51,1080p_6M_Furniture_upscaled.yuv,473,60.0,1920,1080,Furniture,4k_ref_Furniture_upscaled.yuv
52,1080p_6M_golf1_upscaled.yuv,452,50.0,1920,1080,golf1,4k_ref_golf1_upscaled.yuv
53,1080p_6M_golf2_upscaled.yuv,501,50.0,1920,1080,golf2,4k_ref_golf2_upscaled.yuv
54,1080p_6M_Light2_upscaled.yuv,352,59.94005994005994,1920,1080,Light2,4k_ref_Light2_upscaled.yuv
55,1080p_6M_Light3_upscaled.yuv,367,59.94005994005994,1920,1080,Light3,4k_ref_Light3_upscaled.yuv
56,1080p_6M_Light4_upscaled.yuv,385,59.94005994005994,1920,1080,Light4,4k_ref_Light4_upscaled.yuv
57,1080p_6M_NighTraffic_upscaled.yuv,496,60.0,1920,1080,NighTraffic,4k_ref_NighTraffic_upscaled.yuv
58,1080p_6M_OfficeBuilding_upscaled.yuv,525,60.0,1920,1080,OfficeBuilding,4k_ref_OfficeBuilding_upscaled.yuv
59,1080p_6M_Porsche_upscaled.yuv,301,60.0,1920,1080,Porsche,4k_ref_Porsche_upscaled.yuv
60,1080p_6M_Skyscraper_upscaled.yuv,363,60.0,1920,1080,Skyscraper,4k_ref_Skyscraper_upscaled.yuv
61,1080p_6M_UrbanLandmark_upscaled.yuv,568,60.0,1920,1080,UrbanLandmark,4k_ref_UrbanLandmark_upscaled.yuv
62,1080p_9M_Bonfire_upscaled.yuv,527,60.0,1920,1080,Bonfire,4k_ref_Bonfire_upscaled.yuv
63,1080p_9M_CargoBoat_upscaled.yuv,650,60.0,1920,1080,CargoBoat,4k_ref_CargoBoat_upscaled.yuv
64,1080p_9M_CenterPanorama_upscaled.yuv,606,60.0,1920,1080,CenterPanorama,4k_ref_CenterPanorama_upscaled.yuv
65,1080p_9M_Chasing1_upscaled.yuv,610,59.94005994005994,1920,1080,Chasing1,4k_ref_Chasing1_upscaled.yuv
66,1080p_9M_Chasing3_upscaled.yuv,424,59.94005994005994,1920,1080,Chasing3,4k_ref_Chasing3_upscaled.yuv
67,1080p_9M_Chasing4_upscaled.yuv,424,59.94005994005994,1920,1080,Chasing4,4k_ref_Chasing4_upscaled.yuv
68,1080p_9M_CourtYard_upscaled.yuv,608,60.0,1920,1080,CourtYard,4k_ref_CourtYard_upscaled.yuv
69,1080p_9M_Daylight1_upscaled.yuv,483,59.94005994005994,1920,1080,Daylight1,4k_ref_Daylight1_upscaled.yuv
70,1080p_9M_firework_upscaled.yuv,608,60.0,1920,1080,firework,4k_ref_firework_upscaled.yuv
71,1080p_9M_Flowers_upscaled.yuv,668,60.0,1920,1080,Flowers,4k_ref_Flowers_upscaled.yuv
72,1080p_9M_football10_upscaled.yuv,505,50.0,1920,1080,football10,4k_ref_football10_upscaled.yuv
73,1080p_9M_football1_upscaled.yuv,506,50.0,1920,1080,football1,4k_ref_football1_upscaled.yuv
74,1080p_9M_football2_upscaled.yuv,506,50.0,1920,1080,football2,4k_ref_football2_upscaled.yuv
75,1080p_9M_football3_upscaled.yuv,456,50.0,1920,1080,football3,4k_ref_football3_upscaled.yuv
76,1080p_9M_football4_upscaled.yuv,403,50.0,1920,1080,football4,4k_ref_football4_upscaled.yuv
77,1080p_9M_football5_upscaled.yuv,506,50.0,1920,1080,football5,4k_ref_football5_upscaled.yuv
78,1080p_9M_football6_upscaled.yuv,456,50.0,1920,1080,football6,4k_ref_football6_upscaled.yuv
79,1080p_9M_football7_upscaled.yuv,456,50.0,1920,1080,football7,4k_ref_football7_upscaled.yuv
80,1080p_9M_football8_upscaled.yuv,456,50.0,1920,1080,football8,4k_ref_football8_upscaled.yuv
81,1080p_9M_football9_upscaled.yuv,506,50.0,1920,1080,football9,4k_ref_football9_upscaled.yuv
82,1080p_9M_Furniture_upscaled.yuv,473,60.0,1920,1080,Furniture,4k_ref_Furniture_upscaled.yuv
83,1080p_9M_golf1_upscaled.yuv,452,50.0,1920,1080,golf1,4k_ref_golf1_upscaled.yuv
84,1080p_9M_golf2_upscaled.yuv,501,50.0,1920,1080,golf2,4k_ref_golf2_upscaled.yuv
85,1080p_9M_Light2_upscaled.yuv,352,59.94005994005994,1920,1080,Light2,4k_ref_Light2_upscaled.yuv
86,1080p_9M_Light3_upscaled.yuv,367,59.94005994005994,1920,1080,Light3,4k_ref_Light3_upscaled.yuv
87,1080p_9M_Light4_upscaled.yuv,385,59.94005994005994,1920,1080,Light4,4k_ref_Light4_upscaled.yuv
88,1080p_9M_NighTraffic_upscaled.yuv,496,60.0,1920,1080,NighTraffic,4k_ref_NighTraffic_upscaled.yuv
89,1080p_9M_OfficeBuilding_upscaled.yuv,525,60.0,1920,1080,OfficeBuilding,4k_ref_OfficeBuilding_upscaled.yuv
90,1080p_9M_Porsche_upscaled.yuv,301,60.0,1920,1080,Porsche,4k_ref_Porsche_upscaled.yuv
91,1080p_9M_Skyscraper_upscaled.yuv,363,60.0,1920,1080,Skyscraper,4k_ref_Skyscraper_upscaled.yuv
92,1080p_9M_UrbanLandmark_upscaled.yuv,568,60.0,1920,1080,UrbanLandmark,4k_ref_UrbanLandmark_upscaled.yuv
93,4k_15M_Bonfire_upscaled.yuv,527,60.0,3840,2160,Bonfire,4k_ref_Bonfire_upscaled.yuv
94,4k_15M_CargoBoat_upscaled.yuv,650,60.0,3840,2160,CargoBoat,4k_ref_CargoBoat_upscaled.yuv
95,4k_15M_CenterPanorama_upscaled.yuv,606,60.0,3840,2160,CenterPanorama,4k_ref_CenterPanorama_upscaled.yuv
96,4k_15M_Chasing1_upscaled.yuv,610,59.94005994005994,3840,2160,Chasing1,4k_ref_Chasing1_upscaled.yuv
97,4k_15M_Chasing3_upscaled.yuv,424,59.94005994005994,3840,2160,Chasing3,4k_ref_Chasing3_upscaled.yuv
98,4k_15M_Chasing4_upscaled.yuv,424,59.94005994005994,3840,2160,Chasing4,4k_ref_Chasing4_upscaled.yuv
99,4k_15M_CourtYard_upscaled.yuv,608,60.0,3840,2160,CourtYard,4k_ref_CourtYard_upscaled.yuv
100,4k_15M_Daylight1_upscaled.yuv,483,59.94005994005994,3840,2160,Daylight1,4k_ref_Daylight1_upscaled.yuv
101,4k_15M_firework_upscaled.yuv,608,60.0,3840,2160,firework,4k_ref_firework_upscaled.yuv
102,4k_15M_Flowers_upscaled.yuv,668,60.0,3840,2160,Flowers,4k_ref_Flowers_upscaled.yuv
103,4k_15M_football10_upscaled.yuv,505,50.0,3840,2160,football10,4k_ref_football10_upscaled.yuv
104,4k_15M_football1_upscaled.yuv,506,50.0,3840,2160,football1,4k_ref_football1_upscaled.yuv
105,4k_15M_football2_upscaled.yuv,506,50.0,3840,2160,football2,4k_ref_football2_upscaled.yuv
106,4k_15M_football3_upscaled.yuv,456,50.0,3840,2160,football3,4k_ref_football3_upscaled.yuv
107,4k_15M_football4_upscaled.yuv,403,50.0,3840,2160,football4,4k_ref_football4_upscaled.yuv
108,4k_15M_football5_upscaled.yuv,506,50.0,3840,2160,football5,4k_ref_football5_upscaled.yuv
109,4k_15M_football6_upscaled.yuv,456,50.0,3840,2160,football6,4k_ref_football6_upscaled.yuv
110,4k_15M_football7_upscaled.yuv,456,50.0,3840,2160,football7,4k_ref_football7_upscaled.yuv
111,4k_15M_football8_upscaled.yuv,456,50.0,3840,2160,football8,4k_ref_football8_upscaled.yuv
112,4k_15M_football9_upscaled.yuv,506,50.0,3840,2160,football9,4k_ref_football9_upscaled.yuv
113,4k_15M_Furniture_upscaled.yuv,473,60.0,3840,2160,Furniture,4k_ref_Furniture_upscaled.yuv
114,4k_15M_golf1_upscaled.yuv,452,50.0,3840,2160,golf1,4k_ref_golf1_upscaled.yuv
115,4k_15M_golf2_upscaled.yuv,501,50.0,3840,2160,golf2,4k_ref_golf2_upscaled.yuv
116,4k_15M_Light2_upscaled.yuv,352,59.94005994005994,3840,2160,Light2,4k_ref_Light2_upscaled.yuv
117,4k_15M_Light3_upscaled.yuv,367,59.94005994005994,3840,2160,Light3,4k_ref_Light3_upscaled.yuv
118,4k_15M_Light4_upscaled.yuv,385,59.94005994005994,3840,2160,Light4,4k_ref_Light4_upscaled.yuv
119,4k_15M_NighTraffic_upscaled.yuv,496,60.0,3840,2160,NighTraffic,4k_ref_NighTraffic_upscaled.yuv
120,4k_15M_OfficeBuilding_upscaled.yuv,525,60.0,3840,2160,OfficeBuilding,4k_ref_OfficeBuilding_upscaled.yuv
121,4k_15M_Porsche_upscaled.yuv,301,60.0,3840,2160,Porsche,4k_ref_Porsche_upscaled.yuv
122,4k_15M_Skyscraper_upscaled.yuv,363,60.0,3840,2160,Skyscraper,4k_ref_Skyscraper_upscaled.yuv
123,4k_15M_UrbanLandmark_upscaled.yuv,568,60.0,3840,2160,UrbanLandmark,4k_ref_UrbanLandmark_upscaled.yuv
124,4k_3M_Bonfire_upscaled.yuv,527,60.0,3840,2160,Bonfire,4k_ref_Bonfire_upscaled.yuv
125,4k_3M_CargoBoat_upscaled.yuv,650,60.0,3840,2160,CargoBoat,4k_ref_CargoBoat_upscaled.yuv
126,4k_3M_CenterPanorama_upscaled.yuv,606,60.0,3840,2160,CenterPanorama,4k_ref_CenterPanorama_upscaled.yuv
127,4k_3M_Chasing1_upscaled.yuv,610,59.94005994005994,3840,2160,Chasing1,4k_ref_Chasing1_upscaled.yuv
128,4k_3M_Chasing3_upscaled.yuv,424,59.94005994005994,3840,2160,Chasing3,4k_ref_Chasing3_upscaled.yuv
129,4k_3M_Chasing4_upscaled.yuv,424,59.94005994005994,3840,2160,Chasing4,4k_ref_Chasing4_upscaled.yuv
130,4k_3M_CourtYard_upscaled.yuv,608,60.0,3840,2160,CourtYard,4k_ref_CourtYard_upscaled.yuv
131,4k_3M_Daylight1_upscaled.yuv,483,59.94005994005994,3840,2160,Daylight1,4k_ref_Daylight1_upscaled.yuv
132,4k_3M_firework_upscaled.yuv,608,60.0,3840,2160,firework,4k_ref_firework_upscaled.yuv
133,4k_3M_Flowers_upscaled.yuv,668,60.0,3840,2160,Flowers,4k_ref_Flowers_upscaled.yuv
134,4k_3M_football10_upscaled.yuv,505,50.0,3840,2160,football10,4k_ref_football10_upscaled.yuv
135,4k_3M_football1_upscaled.yuv,506,50.0,3840,2160,football1,4k_ref_football1_upscaled.yuv
136,4k_3M_football2_upscaled.yuv,506,50.0,3840,2160,football2,4k_ref_football2_upscaled.yuv
137,4k_3M_football3_upscaled.yuv,456,50.0,3840,2160,football3,4k_ref_football3_upscaled.yuv
138,4k_3M_football4_upscaled.yuv,403,50.0,3840,2160,football4,4k_ref_football4_upscaled.yuv
139,4k_3M_football5_upscaled.yuv,506,50.0,3840,2160,football5,4k_ref_football5_upscaled.yuv
140,4k_3M_football6_upscaled.yuv,456,50.0,3840,2160,football6,4k_ref_football6_upscaled.yuv
141,4k_3M_football7_upscaled.yuv,456,50.0,3840,2160,football7,4k_ref_football7_upscaled.yuv
142,4k_3M_football8_upscaled.yuv,456,50.0,3840,2160,football8,4k_ref_football8_upscaled.yuv
143,4k_3M_football9_upscaled.yuv,506,50.0,3840,2160,football9,4k_ref_football9_upscaled.yuv
144,4k_3M_Furniture_upscaled.yuv,473,60.0,3840,2160,Furniture,4k_ref_Furniture_upscaled.yuv
145,4k_3M_golf1_upscaled.yuv,452,50.0,3840,2160,golf1,4k_ref_golf1_upscaled.yuv
146,4k_3M_golf2_upscaled.yuv,501,50.0,3840,2160,golf2,4k_ref_golf2_upscaled.yuv
147,4k_3M_Light2_upscaled.yuv,352,59.94005994005994,3840,2160,Light2,4k_ref_Light2_upscaled.yuv
148,4k_3M_Light3_upscaled.yuv,367,59.94005994005994,3840,2160,Light3,4k_ref_Light3_upscaled.yuv
149,4k_3M_Light4_upscaled.yuv,385,59.94005994005994,3840,2160,Light4,4k_ref_Light4_upscaled.yuv
150,4k_3M_NighTraffic_upscaled.yuv,496,60.0,3840,2160,NighTraffic,4k_ref_NighTraffic_upscaled.yuv
151,4k_3M_OfficeBuilding_upscaled.yuv,525,60.0,3840,2160,OfficeBuilding,4k_ref_OfficeBuilding_upscaled.yuv
152,4k_3M_Porsche_upscaled.yuv,301,60.0,3840,2160,Porsche,4k_ref_Porsche_upscaled.yuv
153,4k_3M_Skyscraper_upscaled.yuv,363,60.0,3840,2160,Skyscraper,4k_ref_Skyscraper_upscaled.yuv
154,4k_3M_UrbanLandmark_upscaled.yuv,568,60.0,3840,2160,UrbanLandmark,4k_ref_UrbanLandmark_upscaled.yuv
